Download,Price,Source,Title,Availability,Comments
2023-05-23,125.0,FGB,Adrax Agatone,0,Pre-Order - dostawa po premierze
2023-05-23,150.0,FGB,Assault Squad,0,Dostawa w ciągu 10-14 dni
2023-05-23,101.2,FGB,Attack Bike,0,Dostawa w ciągu 10-14 dni
2023-05-23,125.0,FGB,Bike Squad,0,Dostawa w ciągu 10-14 dni
2023-05-23,146.34,FGB,Bladeguard Veterans,1,Dostępny
2023-05-23,123.2,FGB,Chief Librarian Tigurius,0,Dostawa w ciągu 10-14 dni
2023-05-23,194.44,FGB,Contemptor Dreadnought,0,Dostawa w ciągu 10-14 dni
2023-05-23,60.0,FGB,Datacards: Salamanders,2,Dostępny
2023-05-23,175.0,FGB,Devastator Squad,1,Dostępny
2023-05-23,145.2,FGB,Drop Pod,0,Dostawa w ciągu 10-14 dni
2023-05-23,125.0,FGB,Iron Father Feirros,0,Pre-Order - dostawa po premierze
2023-05-23,75.0,FGB,Iron Hands Primaris Upgrades and Transfers,0,Pre-Order - dostawa po premierze
2023-05-23,125.0,FGB,Kayvaan Shrike,0,Pre-Order - dostawa po premierze
2023-05-23,135.0,FGB,Kor'sarro Khan,0,Dostawa w ciągu 10-14 dni
2023-05-23,175.0,FGB,Outriders,2,Dostępny
2023-05-23,180.11,FGB,Primaris Eliminators,0,Pre-Order - dostawa po premierze
2023-05-23,165.0,FGB,Primaris Inceptors,0,2-3 Dni
2023-05-23,167.2,FGB,Primaris Intercessors,0,Dostawa w ciągu 10-14 dni
2023-05-23,0.0,FGB,Primaris Redemptor Dreadnought,0,Dostawa w ciągu 10-14 dni
2023-05-23,175.0,FGB,Primaris Reivers,0,Dostawa w ciągu 10-14 dni
2023-05-23,250.0,FGB,Primaris Repulsor,0,Dostawa w ciągu 10-14 dni
2023-05-23,145.2,FGB,Space Marines: Razorback,1,Dostępny
2023-05-23,175.0,FGB,Sternguard Veteran Squad,0,Dostawa w ciągu 10-14 dni
2023-05-23,200.0,FGB,Storm Speeder Hailstrike,0,2-3 Dni
